,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,lat,long,GEOID,Sub_geo,geometry
1434,010D010182,2614 SW ABBOTT RD,10/21/22,2022,10,2022-10,303600,2020,1932,157.1428571,33.6892449,-84.0714327,13247060201,North Rockdale,POINT (-84.0714327 33.6892449)
1435,210010079,1840 NW KINGS ROW,11/10/22,2022,11,2022-11,685000,2007,4363,157.0020628,33.6955809,-84.0524649,13247060201,North Rockdale,POINT (-84.0524649 33.6955809)
1515,180030015,2975 NW RIVIERA DR,12/9/22,2022,12,2022-12,290000,1965,2112,137.3106061,33.7229561,-84.0534558,13247060201,North Rockdale,POINT (-84.0534558 33.7229561)
1560,210010100,1837 NW KINGS ROW,11/29/22,2022,11,2022-11,725000,2022,3793,191.1415766,33.6950689,-84.0535079,13247060201,North Rockdale,POINT (-84.0535079 33.6950689)
1638,010D010015,2728 SW KEMP CT,11/7/22,2022,11,2022-11,307000,2018,1792,171.3169643,33.6894507,-84.0734811,13247060201,North Rockdale,POINT (-84.0734811 33.6894507)
1653,010D010144,2306 SW CANDY LN,11/1/22,2022,11,2022-11,335000,2020,1792,186.9419643,33.6903449,-84.0725883,13247060201,North Rockdale,POINT (-84.0725883 33.6903449)
1864,038A010091,2753 NW WESTMINISTER LN,9/21/22,2022,9,2022-9,355000,1978,1500,236.6666667,33.7173313,-84.048233,13247060201,North Rockdale,POINT (-84.048233 33.7173313)
1875,190070028,2564 NW CASABLANCA DR,9/19/22,2022,9,2022-9,269000,1966,1487,180.9011432,33.7121478,-84.0625997,13247060201,North Rockdale,POINT (-84.0625997 33.7121478)
1920,010D010013,2724 SW KEMP CT,9/9/22,2022,9,2022-9,310000,2018,1792,172.9910714,33.6895653,-84.0735789,13247060201,North Rockdale,POINT (-84.0735789 33.6895653)
1932,010D010014,2726 SW KEMP CT,9/7/22,2022,9,2022-9,310000,2018,1792,172.9910714,33.6895614,-84.0734963,13247060201,North Rockdale,POINT (-84.0734963 33.6895614)
1949,190010014,2535 NW AMALFI DR,9/1/22,2022,9,2022-9,289900,1964,1572,184.4147583,33.7145154,-84.0502974,13247060201,North Rockdale,POINT (-84.0502974 33.7145154)
1976,180070006,3016 NW RIVIERA DR,7/31/20,2020,7,2020-7,175000,1966,1940,90.20618557,33.7239065,-84.0544551,13247060201,North Rockdale,POINT (-84.0544551 33.7239065)
1999,038A010091,2753 NW WESTMINISTER LN,9/14/20,2020,9,2020-9,230000,1978,1500,153.3333333,33.7173313,-84.048233,13247060201,North Rockdale,POINT (-84.048233 33.7173313)
2029,010D010131,2403 SW FITTS DR,10/26/20,2020,10,2020-10,227167,2020,1792,126.7672991,33.6906181,-84.0724601,13247060201,North Rockdale,POINT (-84.0724601 33.6906181)
2064,010D010130,2401 SW FITTS DR,10/22/20,2020,10,2020-10,226943,2020,1824,124.4205044,33.6906728,-84.072555,13247060201,North Rockdale,POINT (-84.072555 33.6906728)
2073,010D010168,2108 SW WATTS LN,9/29/20,2020,9,2020-9,257985,2020,1824,141.4391447,33.6904144,-84.0740079,13247060201,North Rockdale,POINT (-84.0740079 33.6904144)
2127,038A010054,1952 NW PACES LANDING CT,10/30/20,2020,10,2020-10,219400,1972,1740,126.091954,33.7103244,-84.0509167,13247060201,North Rockdale,POINT (-84.0509167 33.7103244)
2133,010D010151,2311 SW CANDY LN,10/30/20,2020,10,2020-10,226726,2020,1792,126.5212054,33.6899531,-84.0725883,13247060201,North Rockdale,POINT (-84.0725883 33.6899531)
2136,010D010134,2409 SW FITTS DR,10/30/20,2020,10,2020-10,229691,2020,1792,128.1757813,33.6905373,-84.0722891,13247060201,North Rockdale,POINT (-84.0722891 33.6905373)
2137,180070010,3003 NW BARCELONA WAY,10/30/20,2020,10,2020-10,123000,1971,1560,78.84615385,33.7235428,-84.0552517,13247060201,North Rockdale,POINT (-84.0552517 33.7235428)
